topic,path_text,question,grounding_score,pairwise_similarity,final_score,method,accepted
European Central Bank,European Central Bank --country--> Germany --replaces--> German Democratic Republic,1. What was the country that replaced the German Democratic Republic?,0.6754724979400635,0.0,0.6754724979400635,zero_shot,True
Inflation,Treasury inflation-protected securities --Introduce--> inflation expectations --Decrease--> Inflation Pressures,1. How does an increase in Treasury inflation-protected securities affect inflation pressures?,0.9082165360450745,0.0,0.9082165360450745,zero_shot,True
Inflation,Germany --Impact--> Inflation --Positive_Impact_On--> Consumer Spending,1. How does inflation in Germany affect consumer spending?,0.8050596117973328,0.0,0.8050596117973328,zero_shot,True
Inflation,Inflation --Positive_Impact_On--> Consumer Spending --Impact--> The U.S. Economy,1. How does an increase in inflation impact consumer spending?,0.7919577956199646,0.0,0.7919577956199646,zero_shot,True
Inflation,Inflation --Impact--> The U.S. Economy --Negative_Impact_On--> Retailers,1. How does inflation impact the U.S. economy?,0.7479425072669983,0.0,0.7479425072669983,zero_shot,True
Inflation,inflation --studied by--> financial economics --has part(s)--> financial market,1. What field of economics studies inflation?,0.7698715329170227,0.0,0.7698715329170227,zero_shot,True
Inflation,"inflation --has effect--> Monetary reform in Russia, 1998 --country--> Russia",1. What country was affected by inflation that led to monetary reform in 1998?,0.7589727640151978,0.0,0.7589727640151978,zero_shot,True
Inflation,inflation --studied by--> macroeconomics --opposite of--> microeconomics,1. What field of economics studies inflation?,0.6909054517745972,0.0,0.6909054517745972,zero_shot,True
Inflation,inflation --has effect--> 2025–2026 Iranian protests --has cause--> human rights in the Islamic Republic of Iran,1. What was the cause of the human rights issues in Iran during the period of 2025–2026?,0.6718264222145081,0.0,0.6718264222145081,zero_shot,True
JPMorgan Chase,JPMorgan Chase --Decrease--> Shares --Impact--> Consumer sentiment,1. How does a decrease in JPMorgan Chase's shares affect consumer sentiment?,0.9270967245101929,0.0,0.9270967245101929,zero_shot,True
JPMorgan Chase,JPMorgan Chase & Co --Announce--> Department of Labor --Announce--> Jobs report,1. What department did JPMorgan Chase & Co announce a jobs report through?,0.9163804054260254,0.0,0.9163804054260254,zero_shot,True
JPMorgan Chase,JPMorgan Chase --Impact--> stocks --Negative_Impact_On--> Corporate Earnings,1. Does JPMorgan Chase's negative impact on stocks have an effect on corporate earnings?,0.9106943011283875,0.0,0.9106943011283875,zero_shot,True
JPMorgan Chase,General Motors --Impact--> JPMorgan Chase --Decrease--> Shares,1. What impact did General Motors have on JPMorgan Chase's shares?,0.8728097677230835,0.0,0.8728097677230835,zero_shot,True
JPMorgan Chase,JPMorgan Chase & Co --Participates_In--> NYSE --Invests_In--> Coinbase,1. Does JPMorgan Chase & Co invest in Coinbase?,0.8599880933761597,0.0,0.8599880933761597,zero_shot,True
JPMorgan Chase,JPMorgan Chase --country--> United States --central bank--> Federal Reserve System,1. What country does JPMorgan Chase belong to?,0.7675195932388306,0.0,0.7675195932388306,zero_shot,True
European Central Bank,European Central Bank --Decrease--> Interest Rates --Impact--> economic expansion,1. How does a decrease in interest rates by the European Central Bank affect economic expansion?,0.9248534440994263,0.0,0.9248534440994263,zero_shot,True
European Central Bank,European Central Bank --Negative_Impact_On--> Exports --Positive_Impact_On--> Economic growth,1. How does a negative impact on exports by European Central Bank affect economic growth?,0.8593470454216003,0.0,0.8593470454216003,zero_shot,True
European Central Bank,European Central Bank --Decrease--> Key Interest Rate --Impact--> economy,1. What happens when the European Central Bank decreases its key interest rate?,0.8404583930969238,0.0,0.8404583930969238,zero_shot,True
European Central Bank,European Central Bank --Impact--> Eurozone Economy --Decrease--> Euro,1. How does the European Central Bank influence the Eurozone Economy?,0.837019681930542,0.0,0.837019681930542,zero_shot,True
america,American Airlines Group Inc. --Decrease--> Shares --Impact--> Consumer sentiment,1. How does a decrease in American Airlines Group Inc.'s shares affect consumer sentiment?,0.936109185218811,0.0,0.936109185218811,zero_shot,True
america,Americans --Decrease--> Health insurance --Impact--> US Government,1. How does a decrease in health insurance among Americans impact the US Government?,0.896331787109375,0.0,0.896331787109375,zero_shot,True
america,Americans --Participates_In--> Jobs Market --Impact--> U.S. stocks,1. What impact does participation in the jobs market by Americans have on U.S. stocks?,0.868037223815918,0.0,0.868037223815918,zero_shot,True
america,Americans --Impact--> Consumer Confidence --Negative_Impact_On--> Economic growth,1. How does the impact of Americans on consumer confidence affect economic growth?,0.8500629663467407,0.0,0.8500629663467407,zero_shot,True
america,American Consumers --Impact--> The U.S. Economy --Negative_Impact_On--> Retailers,1. How does an impact on American consumers affect the U.S. economy?,0.8466359376907349,0.0,0.8466359376907349,zero_shot,True
European Central Bank,European Central Bank --Decrease--> Key Interest Rate --Impact--> economy,1. What impact does a decrease in the Key Interest Rate by the European Central Bank have on the economy?,0.9216580390930176,0.0,0.9216580390930176,zero_shot,True
European Central Bank,Canadian economy --Impact--> European Central Bank --Announce--> Key Rate,1. Does the Canadian economy have an impact on the European Central Bank's key rate announcements?,0.9116511344909668,0.0,0.9116511344909668,zero_shot,True
European Central Bank,European Central Bank --Impact--> Global Economy --Negative_Impact_On--> Inflation,1. What impact does the European Central Bank have on global inflation?,0.8374949097633362,0.0,0.8374949097633362,zero_shot,True
European Central Bank,European Central Bank --country--> Germany --central bank--> German Federal Bank,1. What central bank is located in Germany?,0.8223272562026978,0.0,0.8223272562026978,zero_shot,True
Inflation,Treasury inflation-protected securities --Introduce--> inflation expectations --Decrease--> Inflation Pressures,1. How does an increase in Treasury inflation-protected securities impact inflation pressures?,0.9087263345718384,0.0,0.9087263345718384,zero_shot,True
Inflation,Germany --Impact--> Inflation --Positive_Impact_On--> Consumer Spending,1. Does inflation in Germany have any positive impact on consumer spending?,0.8096581101417542,0.0,0.8096581101417542,zero_shot,True
Inflation,inflation --studied by--> macroeconomics --part of--> general economics,1. What field of economics does inflation fall under?,0.7921562194824219,0.0,0.7921562194824219,zero_shot,True
Inflation,inflation --has effect--> 2025–2026 Iranian protests --has cause--> Iranian economic crisis,1. What was the cause of the Iranian economic crisis?,0.6167870759963989,0.0,0.6167870759963989,zero_shot,True
JPMorgan Chase,JPMorgan Chase --Decrease--> Shares --Impact--> Consumer sentiment,1. How does a decrease in JPMorgan Chase's shares impact consumer sentiment?,0.9309849739074707,0.0,0.9309849739074707,zero_shot,True
JPMorgan Chase,JPMorgan Chase & Co --Introduce--> Cloud Computing --Impact--> Alibaba Group Holding Ltd,1. How does JPMorgan Chase & Co contribute to Alibaba Group Holding Ltd through their introduction of cloud computing?,0.9055832028388977,0.0,0.9055832028388977,zero_shot,True
European Central Bank,European Central Bank --country--> Germany --central bank--> German Federal Bank,1. What country serves as the home for the German Federal Bank?,0.7531372904777527,0.0,0.7531372904777527,zero_shot,True
Inflation,Germany --Impact--> Inflation --Positive_Impact_On--> Consumer Spending,1. What impact does inflation in Germany have on consumer spending?,0.8332065343856812,0.0,0.8332065343856812,zero_shot,True
Inflation,Inflation --Positive_Impact_On--> Consumer Spending --Impact--> The U.S. Economy,1. How does an increase in inflation affect consumer spending?,0.7738460898399353,0.0,0.7738460898399353,zero_shot,True
Inflation,"inflation --has effect--> Monetary reform in Russia, 1998 --country--> Russia",1. What country underwent monetary reform due to inflation?,0.7339094877243042,0.0,0.7339094877243042,zero_shot,True
JPMorgan Chase,JPMorgan Chase & Co --Announce--> earnings --Impact--> Stock values,1. What impact did JPMorgan Chase & Co's earnings announcement have on stock values?,0.9112415909767151,0.0,0.9112415909767151,zero_shot,True
JPMorgan Chase,JPMorgan Chase --country--> United States --significant event--> Cuban Missile Crisis,1. What country was JPMorgan Chase located during the Cuban Missile Crisis?,0.8669478893280029,0.0,0.8669478893280029,zero_shot,True
